judul,lokasi,harga,luas_tanah_m2,luas_bangunan_m2,kamar_tidur,kamar_mandi,garasi,poster,posting_date
Rumah Siap Huni Plus SwimingPool Di Cluster Prestigious Sentul City Bogor,"Sentul City, Bogor","8,9 Miliar",853,540,3,3,,Jenny Fransiska,05 Agustus 2022
Rumah Tipe Upslope Siap Huni Di Cluster Prestigious dikelilingi dengan Lapangan Golf dan View Pegunungan Sentul City Bogor,"Sentul City, Bogor","3,5 Miliar",320,200,5,4,,Jenny Fransiska,05 Agustus 2022
Rumah Mewah Murah di Sentul City Bogor (PRK),"Babakan Madang, Bogor","3,95 Miliar",341,327,5,5,1,Brighton Metropolitan,26 Agustus 2022
Rumah Cantik Dan Bersih Di Kawasan Sentul City Bogor,"Bogor Barat, Bogor","5,35 Miliar",448,500,5,5,,Brighton Metropolitan,26 Agustus 2022
Rumah Bagus Sekali Unfurnished SHM,"Parung, Bogor",624 Juta,72,51,2,1,1,Agus Supriyatna,26 Agustus 2022
Rumah Murah Di Kierana Indah Residence 2 dekat Sawangan Depok,"Parung, Bogor",385 Juta,60,36,2,1,1,Hendra W,25 Agustus 2022
butuh rumah di perumahan pakuan Hils Bogor,"Pakuan, Bogor","1,35 Miliar",144,130,3,2,,Askafa Properti,25 Agustus 2022
Siap Huni Rumah Rancamaya di Bogor Murah Lokasi Prime Nego,"Rancamaya, Bogor",679 Juta,84,48,2,1,1,Haryanto,25 Agustus 2022
"Rumah Cantik 1 lantai di kranggan, dekat pintu toll cibubur","Kranggan, Bogor",889 Juta,95,58,2,1,1,Prayitno,19 Agustus 2022
rumah cluster Diathus siap huni,"Cileungsi, Bogor",690 Juta,112,51,4,2,1,Susan Yulianopa,19 Agustus 2022
Rumah 2 Lantai di Bogor Akses Tol Dan Pinggir Jalan Raya,"Parung, Bogor",900 Juta,72,69,3,2,4,Rumah Syariah Berkualitas,19 Agustus 2022
Rumah Minimalis di Kota Bogor Dekat Ke Jakarta,"Parung, Bogor",700 Juta,65,39,2,1,1,Rumah Syariah Berkualitas,19 Agustus 2022
Rumah nyaman,"Gunung Sindur, Bogor",750 Juta,76,42,2,1,1,Agnes Eny Yakin Yakin,12 Agustus 2022
Rumah siap huni di pondok rajeq cibinong,"Cibinong, Bogor",475 Juta,122,100,2,1,1,Mariani Pohan,12 Agustus 2022
"Rumah Classic di Sentul City, Bogor","Sentul City, Bogor",12 Miliar,543,495,4,4,2,Susy Oktavia,11 Agustus 2022
"Rumah Minimalis di Sentul City, Bogor","Sentul City, Bogor","1,15 Miliar",136,100,3,1,1,Susy Oktavia,11 Agustus 2022
Dijual rumah view golf plus gunung cluster Sentul city,"Sentul City, Bogor","15,5 Miliar",1153,500,3,3,3,Uus Supiandi,11 Agustus 2022
Rumah Cantik Terawat ada Kolam Renang Bonus Green Area 2000M Sentul City Bogor,"Sentul City, Bogor",16 Miliar,2200,400,5,3,,Jenny Fransiska,05 Agustus 2022
Colonial House Sentul City Bogor,"Sentul City, Bogor","2,7 Miliar",275,200,4,3,,Jenny Fransiska,05 Agustus 2022
Rumah Tumbuh Future Minimalis Cluster Bukit Golf Hijau Sentul City Bogor,"Sentul City, Bogor","1,9 Miliar",297,70,1,1,,Jenny Fransiska,05 Agustus 2022
Cluster Acacia Serpong Natura,"Gunung Sindur, Bogor",550 Juta,81,45,2,1,,Herman Mulyadi,05 Agustus 2022
Rumah 2 lantai full furnished di CitraLand Cibubur,"Cileungsi, Bogor",890 Juta,60,55,2,2,1,Lusy Dewi,05 Agustus 2022
rumah Minimalis di Bukit Golf Cibubur,"Gunung Putri, Bogor",650 Juta,78,40,2,1,,Duviar Prayudi,05 Agustus 2022
Siap huni rumah minimalis di Perum Citra Indah City,"Jonggol, Bogor",260 Juta,70,60,2,1,1,Natan Wu Wu,05 Agustus 2022
Rumah kokoh sangat asri lihat langsung minat bebas banjir dekat stasiun kereta  di Cilebut Bogor,"Cilebut, Bogor","1,6 Miliar",159,230,4,3,,Pujiyono,04 Agustus 2022
Rumah Strategis 2 Lantai Raffles Hills Bebas Banjir Dekat Tol Jagorawi,"Cimanggis, Depok","1,2 Miliar",98,78,2,3,1,PASHOUSES ID,25 Agustus 2022
Rumah Minimalis di Perum Palm Residence Dekat Park Sawangan,"Sawangan, Depok",750 Juta,72,43,1,1,1,PASHOUSES ID,25 Agustus 2022
Rumah Luas 2 Lantai Jual Cepat di Limo Residence Siap Huni Bisa KPR,"Limo, Depok","1,41 Miliar",112,180,3,3,,Meti Muslikhatun,18 Agustus 2022
Rumah Luas Siap Huni di Bojongsari Depok Bebas Banjir Siap Kpr,"Bojong Sari, Depok",870 Juta,140,131,3,1,,Meti Muslikhatun,18 Agustus 2022
Rumah Strategis Bebas Banjir Di Tamansari Puri Bali,"Bojong Sari, Depok",840 Juta,108,90,2,1,1,Meti Muslikhatun,18 Agustus 2022
Rumah Strategis Dekat Tol Di Istana Griya Cinangka Sawangan Bebas Banjir Harga Nego,"Sawangan, Depok",725 Juta,88,50,2,1,,Meti Muslikhatun,18 Agustus 2022
Rumah Luas 2 Lantai Jual Cepat di Limo Residence Siap Huni Bisa KPR,"Limo, Depok","1,41 Miliar",112,180,3,3,,Astried Eviana Utami,18 Agustus 2022
Rumah Luas Bebas Banjir Siap Huni di Bojongsari Depok Siap Kpr,"Bojong Sari, Depok",870 Juta,140,131,3,1,,Astried Eviana Utami,18 Agustus 2022
Rumah Siap Huni di Tamansari Puri Bali Harga Nego,"Bojong Sari, Depok",840 Juta,108,90,2,1,1,Astried Eviana Utami,18 Agustus 2022
Rumah 1 Lantai Dekat Tol Cimanggis,"Cimanggis, Depok",563 Juta,61,37,2,1,1,Reza M,18 Agustus 2022
Rumah Strategis Dekat Tol Di Istana Griya Cinangka Sawangan Bebas Banjir Harga Nego,"Sawangan, Depok",725 Juta,88,50,2,1,,Astried Eviana Utami,18 Agustus 2022
Rumah Bebas Banjir Permata Cimanggis Cluster Intan Lokasi Strategis,"Cimanggis, Depok","1,02 Miliar",86,50,2,1,1,PASHOUSES ID,18 Agustus 2022
