judul,lokasi,harga,luas_tanah_m2,luas_bangunan_m2,kamar_tidur,kamar_mandi,garasi,poster,posting_date
Axel Hot Price Masih Nego Cluster Favorit Green Lake City West Europe 6x15 2 Lantai,"Green Lake City, Jakarta Barat","2,4 Miliar",90,120,3,3,2,Axel Satria,19 Agustus 2022
Axel Hot Unit Super Mewah Green Lake City Hoek Luas Tanah 203m2,"Green Lake City, Jakarta Barat",5 Miliar,203,200,4,4,2,Axel Satria,19 Agustus 2022
"Axel , Best Deal Harga Termurah Rumah Baru Renov Citra Garden 2 6x23 Furnish Gress Super Bagus","Citra Garden, Jakarta Barat","2,35 Miliar",138,100,4,2,,Axel Satria,19 Agustus 2022
"DIJUAL TERMURAH ,RUMAH THE RIVIERA AT PURI Brandnew !!","Metland Puri, Jakarta Barat","4,3 Miliar",144,144,3,4,2,Aling Ng,19 Agustus 2022
ANA*HOT-DEAL!!* - RUMAH PLONK 4 LANTAI KONDISI DAN LOKASI BAGUS UK 4.5X28.5M DI JELAMBAR HADAP TIMUR,"Jelambar, Jakarta Barat","3,8 Miliar",128,432,2,3,1,ANA*PROPERTY JELAMBAR,13 Agustus 2022
Dhyana Rumah Uk 4x16m Lokasi Bagus di Jelambar,"Jelambar, Jakarta Barat","2,2 Miliar",64,168,3,3,,DHYANA PROPERTY,13 Agustus 2022
Dhyana Rumah Uk 4x18m Lokasi Bagus di Jelambar,"Jelambar, Jakarta Barat","2,2 Miliar",72,196,3,3,,DHYANA PROPERTY,13 Agustus 2022
Dhyana Rumah Hadap Timur Uk 4.5x28.5m Lokasi Bagus di Jelambar,"Jelambar, Jakarta Barat","3,8 Miliar",128,432,2,3,1,DHYANA PROPERTY,13 Agustus 2022
"Rumah Cluster Amerika Latin, Uk 8x18m2 Full Bangunan , Harga 4 M Nego . Specialist Green Lake City","Green Lake City, Jakarta Barat",4 Miliar,144,210,3,2,,Julian kusmadi,05 Agustus 2022
Rumah Cantik di citra 2 ext kolam dan karaoke room tersedia,"Citra Garden, Jakarta Barat",11 Miliar,595,256,4,4,1,Grace,05 Agustus 2022
"Mewah , Green Lake ,uk 10x18m2.full Furnish , Tinggal Bawa Koper.","Green Lake City, Jakarta Barat","5,4 Miliar",180,250,4,3,,Julian kusmadi,05 Agustus 2022
"FULL FURNISH / MARMER - Green Lake City , Hoek 13x15m2","Green Lake City, Jakarta Barat","4,69 Miliar",195,350,5,4,,Julian kusmadi,05 Agustus 2022
ANDRE TJHIA Puri Mansion Luxurious House Lokasi Premium Bebas Banjir,"Puri Mansion, Jakarta Barat","6,3 Miliar",255,293,3,3,4,Andre Tjhia ParaLand Property,05 Agustus 2022
Andre Tjhia Puri Mansion Perumahan Sangat Aman 5 Menit Dari Mal Puri,"Puri Mansion, Jakarta Barat","6,3 Miliar",255,293,3,3,5,Andre Tjhia ParaLand Property,05 Agustus 2022
Andre Tjhia Puri Mansion Rumah Full Renovasi Semi Furnish Harga Nego,"Puri Mansion, Jakarta Barat","6,3 Miliar",255,293,3,3,4,Andre Tjhia ParaLand Property,05 Agustus 2022
Andre Tjhia Meruya Rumah Jaln Lebar Lokasi Premium Dkt Jalan Raya,"Meruya, Jakarta Barat","2,3 Miliar",125,150,3,3,2,Andre Tjhia ParaLand Property,05 Agustus 2022
Andre Tjhia Semanan Indah Rumah Luxurious Design Dkt Puri Indah,"Semanan, Jakarta Barat","2,54 Miliar",120,136,3,3,2,Andre Tjhia ParaLand Property,05 Agustus 2022
PURI INDAH - classic mewah marmer - berkwalitas,"Puri Indah, Jakarta Barat",15 Miliar,240,625,4,5,,>> HANDY <<,26 Agustus 2022
Rumah Puri Mansion Ls tanah 120 m2. Kondisi siap huni.,"Puri Mansion, Jakarta Barat","3,5 Miliar",120,160,3,2,,Steve Leo,26 Agustus 2022
Axel Jamin Termurah Se Universe Green Lake City 4x15 2 Lantai,"Green Lake City, Jakarta Barat","1,37 Miliar",60,80,2,1,,Axel Satria,26 Agustus 2022
ANA*SPECIAL-DEAL!! - Di KAV.POLRI* - RUMAH FURNISHED 3 LANTAI UK 4X21M DI KOMPLEK KAV.POLRI JELAMBAR,"Jelambar, Jakarta Barat","2,7 Miliar",84,208,3,4,1,ANA*PROPERTY JELAMBAR,26 Agustus 2022
Rumah Permata Buana - Brand New - Depan Taman - Mewah!,"Permata Buana, Jakarta Barat","12,5 Miliar",200,700,4,3,,Steve Leo,26 Agustus 2022
ANA*HOT-DEAL!! - Di KAV.POLRI* - RUMAH BAGUS 2 LANTAI UK 6.5X20M DI KOMPLEK KAV.POLRI JELAMBAR,"Jelambar, Jakarta Barat","3,2 Miliar",130,200,4,3,2,ANA*PROPERTY JELAMBAR,26 Agustus 2022
Dhyana Rumah Greenville Lt 70m Lokasi Bagus Jalan 2 Mobil,"Green Ville, Jakarta Barat","1,75 Miliar",70,150,2,2,,DHYANA PROPERTY,25 Agustus 2022
Dhyana Rumah Taman Ratu Uk 4x13.5m Jalan 2 Mobil,"Taman Ratu, Jakarta Barat","1,9 Miliar",54,114,4,5,,DHYANA PROPERTY,25 Agustus 2022
Dhyana Rumah Furnish Uk 4x21m Hadap Timur Komplek Kavling Polri,"Jelambar, Jakarta Barat","2,7 Miliar",84,190,3,4,1,DHYANA PROPERTY,25 Agustus 2022
Dhyana Rumah 2 Lt Uk 13x18.5m Bebas Banjir di Komplek Kav Polri,"Jelambar, Jakarta Barat","4,9 Miliar",240,220,5,5,2,DHYANA PROPERTY,25 Agustus 2022
Chandra Rumah Uk 6.5x20m Jalan 3 Mobil di Komplek Kavling Polri,"Jelambar, Jakarta Barat","3,2 Miliar",130,190,4,3,,CHANDRA PROPERTY JELAMBAR,25 Agustus 2022
Chandra Rumah Uk 4x16.5m Lokasi Bagus di Jelambar,"Jelambar, Jakarta Barat","2,4 Miliar",66,185,4,3,1,CHANDRA PROPERTY JELAMBAR,25 Agustus 2022
ANA*GREAT-DEAL!!* - RUMAH CAKEP MURAH 4 LANTAI FULL RENOV UK 5.3X11M DI JELAMBAR.,"Jelambar, Jakarta Barat","1,95 Miliar",58,215,1,3,1,ANA*PROPERTY JELAMBAR,25 Agustus 2022
"Rumah hawaii city resort hoek 13,5x15 rapi bagus siap hunii","Cengkareng, Jakarta Barat","4,5 Miliar",202,363,4,3,2,Sumitro  Lim,19 Agustus 2022
Rumah 2 Lantai Semi Furnished Puri Indah,"Puri Indah, Jakarta Barat","4,5 Miliar",140,250,4,3,1,Frisca,19 Agustus 2022
Dijual Rumah Siap Huni Puri Indah - Luas 200m2,"Puri Indah, Jakarta Barat",6 Miliar,200,325,3,3,1,Frisca,19 Agustus 2022
"Axel , Last Unit Cluster Favorit Super Mewah Semi Furnish Green Lake City Amerika Latin 6x18","Green Lake City, Jakarta Barat","2,7 Miliar",108,140,4,3,2,Axel Satria,18 Agustus 2022
Andre Tjhia Duri Kepa Rumah Siap Huni Bangunan 3 Lantai Jalan 2 Mobil,"Duri Kepa, Jakarta Barat","2,3 Miliar",76,180,4,3,2,Andre Tjhia ParaLand Property,12 Agustus 2022
ANA*GREAT-DEAL!! - Di DUTAMAS* - RUMAH UK 7X20M LOKASI TENANG DI KOMPLEK TAMAN DUTAMAS JELAMBAR,"Jelambar, Jakarta Barat","2,75 Miliar",140,130,3,2,2,ANA*PROPERTY JELAMBAR,05 Agustus 2022
Andre Tjhia Rumah Meruya Harga Sangat Terjangkau Masi Nego,"Meruya, Jakarta Barat","1,8 Miliar",125,190,3,3,2,Andre Tjhia ParaLand Property,05 Agustus 2022
Rumah Mewah 7br Swimming Pool Intercon Taman Kebon Jeruk,"Intercon, Jakarta Barat","15,9 Miliar",652,526,7,4,6,Frisca,04 Agustus 2022
Andre Tjhia Semanan Indah Rumah Hook Terawat Lokasi Premium Masi Nego,"Semanan, Jakarta Barat","3,3 Miliar",196,240,4,3,3,Andre Tjhia ParaLand Property,04 Agustus 2022
Rumah Citra Garden 5 Uk. 8x16 bebas banjir rapi dan siap huni,"Citra Garden, Jakarta Barat","1,9 Miliar",128,132,3,2,,Frendy Nicodemus,01 September 2022
Rumah citra 3 hadap tenggara uk. 8x15 baru renovasi siap huni,"Citra Garden, Jakarta Barat","2,5 Miliar",120,150,3,2,2,Frendy Nicodemus,01 September 2022
Rumah Intercon Kebon Jeruk Semi Furnished siap huni uk. 8x18,"Intercon, Jakarta Barat","5,5 Miliar",144,250,4,3,2,Frendy Nicodemus,01 September 2022
Rumah citra 1 uk. 11x15 hook 2 lantai siap huni bebas banjir,"Citra Garden, Jakarta Barat","2,4 Miliar",165,200,4,2,3,Frendy Nicodemus,01 September 2022
Duri Kepa Rumah Baru di Jalanan Lebar,"Duri Kepa, Jakarta Barat","2,7 Miliar",58,110,3,4,2,Bilyana .,01 September 2022
Rumah Hook 2 Lantai Semi Furnished Di Tanjung Duren,"Tanjung Duren, Jakarta Barat","2,5 Miliar",95,135,4,3,,Julianto Firman,01 September 2022
Rumah Cantik Terawat Puri Indah Dijual Luas Tanah 250m2,"Puri Indah, Jakarta Barat","10,5 Miliar",250,450,4,4,2,Julianto Firman,01 September 2022
Termurah Rumah Puri Mansion Bagus Sekali 120m2 Masi Nego,"Puri Mansion, Jakarta Barat","3,34 Miliar",120,200,4,4,,Marcell Firsta - MR GI,01 September 2022
Rumah 2 Lantai Di Permata Buana Hadap Selatan,"Permata Buana, Jakarta Barat","6,9 Miliar",144,250,4,4,,Julianto Firman,01 September 2022
Rumah Siap Huni Permata Buana Semi Furnished - Kondisi Bagus,"Permata Buana, Jakarta Barat","4,25 Miliar",136,250,3,2,,Julianto Firman,01 September 2022
Rumah Bagus Di Permata Buana Design Minimalis,"Permata Buana, Jakarta Barat","5,9 Miliar",160,300,4,4,,Julianto Firman,01 September 2022
Rumah Butuh Renovasi Unfurnished Di Permata Buana,"Permata Buana, Jakarta Barat","5,9 Miliar",250,200,3,2,2,Julianto Firman,01 September 2022
Rumah Dijual Permata Buana Suasana Asri Luas Tanah 200m2,"Permata Buana, Jakarta Barat","5,2 Miliar",200,300,4,4,1,Julianto Firman,01 September 2022
Sunrise Garden Rumah Baru Dalam Kompleks,"Sunrise Garden, Jakarta Barat","3,5 Miliar",143,170,4,3,1,Bilyana .,01 September 2022
Duri Kepa Rumah besar di Jalanan Lebar,"Duri Kepa, Jakarta Barat",16 Miliar,500,500,4,4,2,Bilyana .,01 September 2022
Taman Ratu Rumah Kusen Jati Hadap Timur,"Taman Ratu, Jakarta Barat","2,8 Miliar",127,190,4,3,2,Bilyana .,01 September 2022
Duri Kepa Rumah Second Akses Mudah,"Duri Kepa, Jakarta Barat","1,75 Miliar",67,130,3,2,,Bilyana .,01 September 2022
Rumah DI Taman Ratu Belakang Wang Residence,"Taman Ratu, Jakarta Barat","4,5 Miliar",144,200,3,3,,Bilyana .,01 September 2022
Taman Ratu RumahGress  Baru Jalan 2 mobil,"Taman Ratu, Jakarta Barat","3,2 Miliar",96,215,4,4,2,Bilyana .,01 September 2022
Taman Ratu Rumah Minimalis Lingkungan Tenang,"Taman Ratu, Jakarta Barat","2,5 Miliar",150,146,3,2,1,Bilyana .,01 September 2022
Sunrise Rumah Baru Dalam Cluster Hadap Timur,"Sunrise Garden, Jakarta Barat","3,48 Miliar",144,200,4,3,1,Bilyana .,01 September 2022
Sunrise Rumah Besar Halaman Luas,"Sunrise Garden, Jakarta Barat",22 Miliar,1300,500,3,4,3,Bilyana .,01 September 2022
Duri Kepa Rumah Minimalis Dekat ke Jalan Panjang,"Duri Kepa, Jakarta Barat","1,5 Miliar",42,120,4,3,1,Bilyana .,01 September 2022
Rumah 2 Lantai Siap Huni Dekat Ke Jalan Gajah Mada,"Tamansari, Jakarta Barat","3,7 Miliar",200,180,5,2,2,Bilyana .,01 September 2022
Sunrise Rumah Baru Dekat ke Jalan Panjang,"Sunrise Garden, Jakarta Barat","6,45 Miliar",150,200,4,3,2,Bilyana .,01 September 2022
Green Garden Rumah Lama Perlu Renovasi,"Green garden, Jakarta Barat","3,8 Miliar",220,250,4,3,1,Bilyana .,01 September 2022
"RUMAH 1,5 LANTAI DI SUNRISE GARDEN.","Sunrise Garden, Jakarta Barat","5,1 Miliar",220,390,6,3,,Anny,01 September 2022
DIJAMIN TERMURAH Rumah Puri Mansion 8x15,"Puri Mansion, Jakarta Barat","3,34 Miliar",120,150,4,4,1,Leo Liong - MR GI,01 September 2022
Dijual Rumah Nyaman di Joglo Kembangan,"Joglo, Jakarta Barat","2,45 Miliar",173,209,4,3,,Meiliyani Meiliyani,01 September 2022
"Rumah Usaha Duri Jembatan Lima Luas 157, Lp 772agt","Jembatan Lima, Jakarta Barat","4,5 Miliar",157,194,2,2,,Mico Zhang,01 September 2022
Rumah siap huni jalan 2 mobil bebas banjir di Tanjung duren(TD168),"Tanjung Duren, Jakarta Barat","1,9 Miliar",56,105,3,2,,andi wijaya,01 September 2022
Rumah Puri Mansion Furnished Full Renov Termurah!!,"Puri Mansion, Jakarta Barat","3,35 Miliar",120,180,4,4,1,Bryan saputro - MR GI,01 September 2022
"Rumah 2 Lantai Bagus SHM di Citra 2 Extension, Jakarta Barat","Citra Garden, Jakarta Barat","2,4 Miliar",114,175,3,3,,Rina Lim,01 September 2022
Rumah  2 Lantai harga terjaukau di Gunung Sahari Utara Jakarta Pusat,"Gunung Sahari, Jakarta Pusat",795 Juta,27,52,2,2,,Syamsidar Syamsidar,17 Agustus 2022
Rumah 3 Lantai di Cempaka Putih Tengah dgn konsep smart home Jak Pus,"Cempaka Putih, Jakarta Pusat","1,24 Miliar",30,85,3,2,,Syamsidar Syamsidar,17 Agustus 2022
Rumah Siap Huni di Percetakan Negara,"Percetakan Negara, Jakarta Pusat","4,1 Miliar",138,146,3,3,1,Hanny  Lomar,11 Agustus 2022
Rumah Dijual Di Samping Grand Indonesia / Jalan Plaju,"Kebon Melati, Jakarta Pusat",95 Miliar,682,427,5,5,5,Bobby,10 Agustus 2022
RUMAH CANTIK SIAP HUNI DI CEMPAKA PUTIH / JAKARTA PUSAT,"Cempaka Putih, Jakarta Pusat","1,6 Miliar",35,100,4,2,1,Umi Zakiah,04 Agustus 2022
Andre Tjhia Rumah Kost di Jalan Bungur Tanah 7.2x23 Harga Masi Nego,"Senen, Jakarta Pusat","2,5 Miliar",164,248,18,6,3,Andre Tjhia ParaLand Property,04 Agustus 2022
"Rumah Mewah Menteng, Kualitas Bagus, Rapi Dan Siap Huni","Menteng, Jakarta Pusat",33 Miliar,532,518,4,3,4,Kosasih Edy,31 Agustus 2022
rumah mewah di cempaka putih jakarta pusat,"Cempaka Putih, Jakarta Pusat","1,37 Miliar",36,69,3,2,1,Siswanto,15 Agustus 2022
Di  Jual Rumah Mewah murah di Cempaka Putih  Jakarta Pusat,"Cempaka Putih, Jakarta Pusat","1,37 Miliar",36,68,3,3,1,Tina apriani,08 Agustus 2022
Rumah Siap Huni Kwitang Senen Jakarta Pusat,"Senen, Jakarta Pusat","1,58 Miliar",58,71,2,2,,Umi Zakiah,04 Agustus 2022
"Cepat Harga Dibawah Njop bangunan 2 Lantai Jl Pangeran Jayakarta Dalam Mangga Dua Selatan ,sawah Besar,jakarta Pusat","Sawah Besar, Jakarta Pusat",325 Juta,29,58,,,,Febriana Elfianita Sari Ana,01 September 2022
"Rumah Lama  Cepatharga Dibawah Njop,hitung Tanah di Jl Kebon Sirih Barat Dalam Menteng Jakarta Pusat","Menteng, Jakarta Pusat","8,95 Miliar",433,156,,,,Febriana Elfianita Sari Ana,01 September 2022
Rumah Siap Huni Ada Carport Dekat Cideng Raya,"Cideng, Jakarta Pusat","2,3 Miliar",72,110,2,2,,Bilyana .,01 September 2022
"Di  Cepat Rumah 2 lantai di Petojo Selatan IV, Jakarta Pusat","Petojo, Jakarta Pusat","2,5 Miliar",98,150,4,2,,Betty,01 September 2022
Rumah jln Moh Yamin Menteng LT 659mtr Jakarta Pusat,"Menteng, Jakarta Pusat","41,5 Miliar",659,500,6,6,2,Lilih Hartono,01 September 2022
Rumah Krekot Sawah Besar uk. 14x18 siap huni akses jalan lega,"Sawah Besar, Jakarta Pusat",7 Miliar,250,400,5,6,4,Frendy Nicodemus,25 Agustus 2022
Rumah Mewah Lokasi Fantastis Ternyaman di Cempaka Putih Tengah Jakarta Pusat,"Cempaka Putih, Jakarta Pusat","4,6 Miliar",151,197,3,3,1,Agung Wibowo,25 Agustus 2022
BU !! Rumah Kost di Senen Jakarta Pusat,"Senen, Jakarta Pusat","1,95 Miliar",124,170,15,11,,IRMA Dreamhome,25 Agustus 2022
Rumah mewah lokasi elite dekat rumah presiden RI di Menteng Jakarta Pusat,"Menteng, Jakarta Pusat",350 Miliar,2629,1724,5,5,15,Fitri Riyanti,24 Agustus 2022
URGEN RUMAH KOST 4 LANTAI 106 KAMAR FULL FURNISHED DIJUAL MURAH Di Salemba Kramat Senen Jakarta Pusat Strategis Dekat Hotel Acacia,"Salemba, Jakarta Pusat","19,5 Miliar",774,1550,99,96,85,Warsikin Asyraf  Raja Closing,24 Agustus 2022
"Menteng, Termurah Rumah Modern Minimalis 3 Floor Near Thamrin And Surrounding Areas","Menteng, Jakarta Pusat","26,5 Miliar",326,560,3,3,2,Fahmi Lutfi,24 Agustus 2022
MENTENGCLASSIC HOUSE,"Menteng, Jakarta Pusat",75 Miliar,829,609,6,7,4,Azmi  Fitra,24 Agustus 2022
Kos kosan Daerah Senen Jakarta PusatGood InvestThe Ekslusif Flamboyan Spec,"Senen, Jakarta Pusat","19,5 Miliar",774,2053,,,,Azmi  Fitra,24 Agustus 2022
Rumah Strategis Cempaka Putih Raya,"Cempaka Putih, Jakarta Pusat",15 Miliar,600,325,6,3,2,Wulang Suhastoro Dewanto,24 Agustus 2022
Bagus Banget Rumah Cantik 1170M Menteng,"Menteng, Jakarta Pusat",70 Miliar,925,1585,9,9,,Ita Tan,18 Agustus 2022
Bagus Rumah Asri Kawasan Menteng 900M2 Hub: 0817 0120 620,"Menteng, Jakarta Pusat","47,5 Miliar",915,680,5,5,4,Ita Tan,18 Agustus 2022
Bondowoso Menteng  Shm - Sertifikat Hak Milik,"Menteng, Jakarta Pusat",58 Miliar,650,500,4,3,1,Muhamad Ikbal,18 Agustus 2022
Rumah di Jalan Ketapang Kemayoran Cocok Untuk Gudang Dijual Cepat,"Kemayoran, Jakarta Pusat","12,5 Miliar",600,1440,,,,uke dana,11 Agustus 2022
Rumah 2 lantai Murah meriah di Pasar Baru Jakarta Pusat,"Sawah Besar, Jakarta Pusat",540 Juta,20,38,2,2,,Kartoyo,11 Agustus 2022
Rumah murah mewah cantik  elegan di jln kembang kuwitang,"Senen, Jakarta Pusat","1,62 Miliar",58,71,2,2,,Jamal,11 Agustus 2022
Rumah murah elegan di kali baru timur jakarta pusat,"Senen, Jakarta Pusat",438 Juta,19,35,2,1,,Jamal,11 Agustus 2022
Rumah di pangkalan asem  jakarta pusat,"Bungur, Jakarta Pusat",360 Juta,20,40,2,1,,Jamal,11 Agustus 2022
DI  JUAL RUMAH TOWNHAUSE  MEWAH BERGAYA EKSLUSIF  CEMPAKA PUTIH,"Cempaka Putih, Jakarta Pusat","1,37 Miliar",36,68,2,3,1,sri Asih,11 Agustus 2022
Di jual rumah murah termurah cantik & menarik daerah Tamansari 3,"Sawah Besar, Jakarta Pusat",581 Juta,24,39,2,2,,sri Asih,11 Agustus 2022
Di  rumah mewah 3 lantai Moderent daerah cempaka putih tengah,"Cempaka Putih, Jakarta Pusat","1,39 Miliar",35,100,4,3,1,sri Asih,11 Agustus 2022
Di  jual rumah murah meriah cantik dan Moder daerah angkasa kecil,"Kemayoran, Jakarta Pusat",538 Juta,29,43,2,2,,sri Asih,11 Agustus 2022
Rumah Termurah Modern Type Resident di Kemayoran Jakarta Pusat,"Kemayoran, Jakarta Pusat",465 Juta,20,43,2,1,,Citra Yulinda property,11 Agustus 2022
Rumah Modern Bangunan 2 Lantai di Lautze Pasar Baru Jakarta Pusat,"Gunung Sahari, Jakarta Pusat",540 Juta,21,40,2,2,,Citra Yulinda property,11 Agustus 2022
Rumah jl.Angkasa kecil 3 kemayoran jakarta pusat 2 Lantai SHM,"Senen, Jakarta Pusat",494 Juta,20,40,2,1,,Fikor rizazul,11 Agustus 2022
"di Kramat Sentiong, Jakarta Pusat","Kramat, Jakarta Pusat","3,8 Miliar",151,185,2,2,,Agus Goei,11 Agustus 2022
rumah cluster lux design smart home di lokasi elite,"Cempaka Putih, Jakarta Pusat","1,37 Miliar",36,68,2,3,1,Syahwana,11 Agustus 2022
Dijual rumah cluster di pusat kota jkrta lokasi elite & strategis,"Cempaka Putih, Jakarta Pusat","1,39 Miliar",34,98,3,2,1,Syahwana,11 Agustus 2022
Rumah Jakarta Pusat Dekat Ke Rs Islam Cempaka Putih,"Cempaka Putih, Jakarta Pusat","2,9 Miliar",200,220,6,3,,Reno Ferdian,11 Agustus 2022
Rumah Mewah Ready Di Menteng,"Menteng, Jakarta Pusat",33 Miliar,532,518,4,3,4,Louis Santoso,04 Agustus 2022
Rumah Krekot dalam Komplek Perumahan lingkungan aman dan nyaman bebas banjir,"Sawah Besar, Jakarta Pusat",7 Miliar,192,250,4,4,1,Frendy Nicodemus,04 Agustus 2022
Di Jual Rumah di Cemaka Putih Tengah,"Cempaka Putih, Jakarta Pusat",6 Miliar,280,305,6,3,2,Agung Wibowo,04 Agustus 2022
"Rumah kebon kacang 5, turun harga!","Kebon Kacang, Jakarta Pusat",23 Miliar,492,800,5,8,,Suwandi Lim,04 Agustus 2022
"rumah di palang merah siap pakai, turun harga!","Roxy, Jakarta Pusat","3,98 Miliar",195,403,5,6,,Suwandi Lim,04 Agustus 2022
rumah asri jln remaja 2 jakarta pusat,"Cempaka Mas, Jakarta Pusat",13 Miliar,960,650,4,5,6,Suwandi Lim,04 Agustus 2022
Dijual Rumah Townhouse Springhill Kemayoran Ukuran 8x15,"Kemayoran, Jakarta Pusat","5,75 Miliar",120,300,3,3,,Arin property,04 Agustus 2022
Rumah Baru mewah bangunan 3 lantai bergaya eropah di Cempaka putih tengah  jakarta pusat belakang kampus kedokteran Yarsi,"Gambir, Jakarta Pusat","1,39 Miliar",38,98,3,3,1,Fikor rizazul,03 Agustus 2022
Rumah mewah harga MURAH di Cempaka putih tengah jakarta pusat  belakang kampus kedokteran Yarsi,"Cempaka Putih, Jakarta Pusat","1,39 Miliar",40,98,3,2,,Fikor rizazul,03 Agustus 2022
"Dijual Rumah Di K S Tubun, 1.168 Meter Tanah Abang","Tanah Abang, Jakarta Pusat",47 Miliar,1168,1168,7,6,10,Tandy A A,03 Agustus 2022
Rumah siap huni 3 lantai  sejuk nan asri di kembang kwtang jak pus,"Senen, Jakarta Pusat","1,59 Miliar",53,71,2,2,1,Kartoyo,03 Agustus 2022
"Rumah di Jl.Purwakarta , Menteng , Jakarta Pusat 3 Lantai SHM Sudah Renovasi Semi Furnished","Menteng, Jakarta Pusat","21,9 Miliar",266,300,4,4,2,Erina  Property,31 Agustus 2022
Rumah Terawat di area Prime Hayam Wuruk dekat Harmoni,"Hayam Wuruk, Jakarta Pusat","3,1 Miliar",94,350,4,4,,Niwan Sutungpol,24 Agustus 2022
Town house Springhill,"Kemayoran, Jakarta Pusat","7,8 Miliar",180,560,4,3,,Hengky  wiranata,24 Agustus 2022
Rumah modern 2 Lantai lokasi fastastis ternyaman di cempaka putih tengah jakarta pusat,"Cempaka Putih, Jakarta Pusat","4,65 Miliar",151,197,4,4,,Nofri anto,23 Agustus 2022
"Rumah Gunung Sahari 8x22, 3 lantai, Jakarta Pusat","Gunung Sahari, Jakarta Pusat","7,8 Miliar",176,450,9,3,,Vie Vie Vie,23 Agustus 2022
Rumah bagus kost mewah dekat gedung kuningan jakarta selatan Bagus,"Menteng Atas, Jakarta Pusat","5,8 Miliar",215,400,8,7,1,Agus Sutisna Wijaya,23 Agustus 2022
Rumah Model Classic di Cempaka Putih Jakarta Pusat,"Cempaka Putih, Jakarta Pusat","5,5 Miliar",150,250,4,4,1,Mirah Astri Handayani,17 Agustus 2022
Rumah di Jalan Cempaka Putih Tengah 77 3 Lantai SHM Semi Furnished,"Cempaka Putih, Jakarta Pusat","1,5 Miliar",36,105,3,3,1,Ajeng Giantini,17 Agustus 2022
"Rumah SHM di Angkasa Kemayoran, Jakarta Pusat","Senen, Jakarta Pusat",562 Juta,28,42,2,3,,dianti yunita,17 Agustus 2022
Rumah Mewah Siap Huni di Pusat Kota Menteng Jakarta Pusat,"Menteng, Jakarta Pusat",75 Miliar,925,1170,5,5,2,Titis Mukti,16 Agustus 2022
Di  Rumah Termurah di jalan Angkasa Jakarta Pusat,"Kemayoran, Jakarta Pusat",519 Juta,27,42,2,2,,Tina apriani,16 Agustus 2022
Di  Hunian Mewah dan Murah strategis di Pusat kota Jakarta,"Senen, Jakarta Pusat","1,59 Miliar",33,45,3,2,,Tina apriani,16 Agustus 2022
Rumah Tua Petojo Selatan Area Kantor Cocok Dibangun Rumah / Kost,"Cideng, Jakarta Pusat","5,5 Miliar",196,170,3,2,1,Niwan Sutungpol,16 Agustus 2022
Rumah di Menteng Kawasan Elit Ada Swimming Pool,"Menteng, Jakarta Pusat",75 Miliar,925,1390,9,8,3,Betty An,10 Agustus 2022
"RUMAH PRIME AREA di IMAM BONJOL, DIPONEGORO - MENTENG","Menteng, Jakarta Pusat",180 Miliar,1500,1000,,,,Louis Santoso,10 Agustus 2022
MENTENG RUMAH MEWAH  SIAP HUNI area Cik Ditiro,"Menteng, Jakarta Pusat","45,8 Miliar",655,700,4,,,Louis Santoso,10 Agustus 2022
RUMAH  NYAMAN di Menteng- Jakarta Pusat,"Menteng, Jakarta Pusat",40 Miliar,490,600,4,4,,Louis Santoso,10 Agustus 2022
RUMAH 2 LANTAI MURAH MERIAH DI JL ANGKASA KEMYORAN RUMAH NYAMAN DESAIN MINIMALIS MODREN 2 LANTAI,"Kemayoran, Jakarta Pusat",519 Juta,18,33,2,1,,Kartoyo,10 Agustus 2022
rumah diroxymas,"Roxy, Jakarta Pusat","3,95 Miliar",169,125,10,4,,Hadie Siem,09 Agustus 2022
Rumah di Cideng,"Cideng, Jakarta Pusat","7,7 Miliar",200,250,5,4,2,Hadie Siem,09 Agustus 2022
Rumah di cideng,"Cideng, Jakarta Pusat","8,5 Miliar",428,500,4,3,,Hadie Siem,09 Agustus 2022
Rumah Baru Strategis di Pusat Kota Jakarta Pusat Cempaka Putih,"Cempaka Putih, Jakarta Pusat","5,7 Miliar",144,350,5,5,,Titis Mukti,03 Agustus 2022
Rumah Baru Semi Furnished Siap Huni di Cempaka Putih Jakarta Pusat,"Cempaka Putih, Jakarta Pusat","5,5 Miliar",150,250,4,5,1,Titis Mukti,03 Agustus 2022
KOST 106 Kamar DI SENEN Jakarta Pusat,"Senen, Jakarta Pusat",18 Miliar,774,2053,106,51,,Joel Timothy Zhang,03 Agustus 2022
Rumah Pejompongan Hitung Tanah Harga Menarik Jalan Utama,"Pejompongan, Jakarta Pusat",7 Miliar,185,270,4,3,2,Mimie Chandra,03 Agustus 2022
RUMAH KOS 106 KAMAR EKLUSIF ANTI PANDEMI FULL TERISI  HARGA MENARIK KRAMAT SENTIONG SENEN JAKARTA PUSAT,"Senen, Jakarta Pusat",18 Miliar,744,1553,99,52,8,Rizik .,03 Agustus 2022
Rumah Jl. Proklamasi Menteng,"Menteng, Jakarta Pusat",35 Miliar,688,249,4,7,,Aldila Aspon,03 Agustus 2022
rumah murah lokasi strategis menguntungkan bebas banjir HANYA 10 menit ke tol cemput tengah,"Menteng, Jakarta Pusat","2,92 Miliar",86,137,3,2,1,dianti yunita,03 Agustus 2022
Rumah Murah Angkasa Kemayoran 10 Menit Ke Stasiun Senen,"Senen, Jakarta Pusat",552 Juta,24,46,2,1,,dianti yunita,03 Agustus 2022
